T(C),T(K),atFe,atNi,atCr,atAl,atCu,SFE_Fe,SFE_Ni,SFE_Cr,SFE_Al,SFE_Cu,SFE_FeNi,SFE_FeCr,SFE_FeAl,SFE_CrNi,GChemical,dgMagnetic,SFE_mg,dGTotal,SFE,SMix,SFE_class
-272,1,5,23.75,23.75,23.75,23.75,-6.625542991,14.71972388,-40.00432892,39.42576114,8.436128998,1.472316749,1.472316749,2.338840162,0.130523164,361.0225344,233.6021058,13.82484785,594.6246401,51.19058678,1.515494886,Medium
-272,1,6,23.5,23.5,23.5,23.5,-7.95065159,14.56477942,-39.58323072,39.01075313,8.34732764,1.748182413,1.748182413,2.77706495,0.12778977,351.2974575,238.2490015,14.09985661,589.546459,50.89005404,1.530084222,Medium
-272,1,7,23.25,23.25,23.25,23.25,-9.275760188,14.40983496,-39.16213252,38.59574512,8.258526282,2.017848849,2.017848849,3.20544199,0.125085301,341.1969694,242.7877318,14.36846402,583.9847012,50.56090266,1.542892703,Medium
-272,1,8,23,23,23,23,-10.60086879,14.2548905,-38.74103432,38.18073711,8.169724924,2.281316057,2.281316057,3.623971283,0.122409757,330.72107,247.2219601,14.63088687,577.9430301,50.20334945,1.554160184,Medium
-272,1,9,22.75,22.75,22.75,22.75,-11.92597738,14.09994603,-38.31993612,37.7657291,8.080923566,2.538584036,2.538584036,4.032652827,0.119763138,319.8697594,251.555299,14.88733897,571.4250583,49.8176082,1.564065692,Medium
-272,1,10,22.5,22.5,22.5,22.5,-13.25108598,13.94500157,-37.89883792,37.35072108,7.992122209,2.789652787,2.789652787,4.431486623,0.117145443,308.6430375,255.7913115,15.13803118,564.434349,49.40388978,1.572747898,Medium
-272,1,11,22.25,22.25,22.25,22.25,-14.57619458,13.79005711,-37.47773972,36.93571307,7.903320851,3.034522309,3.034522309,4.820472671,0.114556674,297.0409044,259.933512,15.38317149,556.9744163,48.96240218,1.580317318,Medium
-272,1,12,22,22,22,22,-15.90130318,13.63511265,-37.05664152,36.52070506,7.814519493,3.273192603,3.273192603,5.199610971,0.111996829,285.06336,263.9853673,15.62296506,549.0487273,48.49335056,1.586864029,Medium
-272,1,13,21.75,21.75,21.75,21.75,-17.22641178,13.48016819,-36.63554333,36.10569705,7.725718135,3.505663669,3.505663669,5.568901523,0.109465909,272.7104044,267.9502977,15.85761431,540.6607021,47.99693735,1.5924628,Medium
-272,1,14,21.5,21.5,21.5,21.5,-18.55152038,13.32522372,-36.21444513,35.69068904,7.636916777,3.731935506,3.731935506,5.928344327,0.106963914,259.9820375,271.831678,16.08731897,531.8137155,47.47336226,1.597176636,Medium
-272,1,15,21.25,21.25,21.25,21.25,-19.87662897,13.17027926,-35.79334693,35.27568102,7.548115419,3.952008115,3.952008115,6.277939382,0.104490843,246.8782594,275.6328383,16.31227612,522.5110977,46.92282238,1.601059295,Medium
-272,1,16,21,21,21,21,-21.20173757,13.0153348,-35.37224873,34.86067301,7.459314061,4.165881495,4.165881495,6.61768669,0.102046697,233.39907,279.3570651,16.53268025,512.7561351,46.3455122,1.604157143,Medium
-272,1,17,20.75,20.75,20.75,20.75,-22.52684617,12.86039034,-34.95115053,34.445665,7.370512703,4.373555647,4.373555647,6.94758625,0.099631476,219.5444694,283.007602,16.74872332,502.5520714,45.74162369,1.606510533,Medium
-272,1,18,20.5,20.5,20.5,20.5,-23.85195477,12.70544588,-34.53005233,34.03065699,7.281711346,4.575030571,4.575030571,7.267638061,0.09724518,205.3144575,286.5876509,16.96059484,491.9021084,45.11134633,1.608154863,Medium
-272,1,19,20.25,20.25,20.25,20.25,-25.17706337,12.55050141,-34.10895413,33.61564898,7.192909988,4.770306266,4.770306266,7.577842125,0.094887809,190.7090344,290.1003727,17.16848185,480.809407,44.45486719,1.609121397,Medium
-272,1,20,20,20,20,20,-26.50217197,12.39555695,-33.68785593,33.20064096,7.10410863,4.959382732,4.959382732,7.878198441,0.092559363,175.7282,293.5488878,17.37256904,469.2770878,43.77237095,1.609437912,Medium
-272,1,21,19.75,19.75,19.75,19.75,-27.82728056,12.24061249,-33.26675773,32.78563295,7.015307272,5.142259971,5.142259971,8.168707008,0.090259841,160.3719544,296.9362775,17.57303875,457.3082319,43.06403996,1.609129216,Medium
-272,1,22,19.5,19.5,19.5,19.5,-29.15238916,12.08566803,-32.84565953,32.37062494,6.926505914,5.31893798,5.31893798,8.449367827,0.087989244,144.6402975,300.2655845,17.77007106,444.905882,42.33005428,1.608217563,Medium
-272,1,23,19.25,19.25,19.25,19.25,-30.47749776,11.93072357,-32.42456133,31.95561693,6.837704556,5.489416762,5.489416762,8.720180899,0.085747572,128.5332294,303.5398136,17.96384379,432.0730429,41.57059174,1.606723,Medium
-272,1,24,19,19,19,19,-31.80260636,11.77577911,-32.00346314,31.54060892,6.748903198,5.653696315,5.653696315,8.981146222,0.083534825,112.05075,306.7619324,18.15453258,418.8126824,40.78582798,1.604663643,Medium
-272,1,25,18.75,18.75,18.75,18.75,-33.12771496,11.62083464,-31.58236494,31.1256009,6.66010184,5.811776639,5.811776639,9.232263798,0.081351002,95.19285938,309.9348724,18.34231091,405.1277318,39.97593649,1.602055915,Medium
-272,1,26,18.5,18.5,18.5,18.5,-34.45282356,11.46589018,-31.16126674,30.71059289,6.571300483,5.963657736,5.963657736,9.473533625,0.079196105,77.9595575,313.0615295,18.52735016,391.021087,39.14108862,1.598914744,Medium
-272,1,27,18.25,18.25,18.25,18.25,-35.77793215,11.31094572,-30.74016854,30.29558488,6.482499125,6.109339603,6.109339603,9.704955704,0.077070132,60.35084438,316.1447643,18.70981963,376.4956087,38.2814537,1.595253724,Medium
-272,1,28,18,18,18,18,-37.10304075,11.15600126,-30.31907034,29.88057687,6.393697767,6.248822243,6.248822243,9.926530035,0.074973084,42.36672,319.1874035,18.8898866,361.5541235,37.39719901,1.591085257,Medium
-272,1,29,17.75,17.75,17.75,17.75,-38.42814935,11.0010568,-29.89797214,29.46556886,6.304896409,6.382105654,6.382105654,10.13825662,0.072904961,24.00718438,322.1922402,19.06771638,346.1994246,36.48848983,1.586420679,Medium
-272,1,30,17.5,17.5,17.5,17.5,-39.75325795,10.84611233,-29.47687394,29.05056084,6.216095051,6.509189836,6.509189836,10.34013545,0.070865762,5.2722375,325.1620343,19.24347229,330.4342718,35.55548952,1.581270355,Medium
-272,1,31,17.25,17.25,17.25,17.25,-41.07836655,10.69116787,-29.05577574,28.63555283,6.127293693,6.63007479,6.63007479,10.53216654,0.068855488,-13.83812063,328.0995135,19.41731577,314.2613928,34.59835949,1.575643774,Medium
-272,1,32,17,17,17,17,-42.40347515,10.53622341,-28.63467754,28.22054482,6.038492335,6.744760516,6.744760516,10.71434988,0.06687414,-33.32389,331.0073738,19.58940637,297.6834838,33.6172593,1.569549623,Medium
-272,1,33,16.75,16.75,16.75,16.75,-43.72858374,10.38127895,-28.21357934,27.80553681,5.949690977,6.853247013,6.853247013,10.88668547,0.064921715,-53.18507062,333.8882801,19.7599018,280.7032095,32.61234666,1.562995858,Medium
-272,1,34,16.5,16.5,16.5,16.5,-45.05369234,10.22633449,-27.79248114,27.3905288,5.86088962,6.955534282,6.955534282,11.04917331,0.062998216,-73.4216625,336.7448668,19.92895797,263.3232043,31.58377747,1.555989756,Medium
-272,1,35,16.25,16.25,16.25,16.25,-46.37880094,10.07139002,-27.37138294,26.97552078,5.772088262,7.051622322,7.051622322,11.20181341,0.061103642,-94.03366562,339.5797381,20.09672899,245.5460725,30.53170587,1.548537974,Medium
-272,1,36,16,16,16,16,-47.70390954,9.916445562,-26.95028475,26.56051277,5.683286904,7.141511134,7.141511134,11.34460575,0.059237992,-115.02108,342.395469,20.26336726,227.374389,29.45628423,1.540646586,Medium
-272,1,37,15.75,15.75,15.75,15.75,-49.02901814,9.7615011,-26.52918655,26.14550476,5.594485546,7.225200718,7.225200718,11.47755035,0.057401267,-136.3839056,345.1946056,20.42902346,208.8107,28.35766324,1.532321128,Medium
-272,1,38,15.5,15.5,15.5,15.5,-50.35412674,9.606556639,-26.10808835,25.73049675,5.505684188,7.302691073,7.302691073,11.6006472,0.055593467,-158.1221425,347.9796655,20.59384659,189.857523,27.2359919,1.52356663,Medium
-272,1,39,15.25,15.25,15.25,15.25,-51.67923533,9.451612177,-25.68699015,25.31548874,5.41688283,7.3739822,7.3739822,11.71389631,0.053814592,-180.2357906,350.7531386,20.757984,170.517348,26.09141756,1.514387647,Medium
-272,1,40,15,15,15,15,-53.00434393,9.296667715,-25.26589195,24.90048072,5.328081472,7.439074098,7.439074098,11.81729766,0.052064642,-202.72485,353.5174875,20.92158142,150.7926375,24.92408595,1.504788284,Low
-173,100,5,23.75,23.75,23.75,23.75,-5.363235092,16.46605318,-40.231143,46.38324841,8.714428488,1.472316749,1.472316749,2.338840162,4.129338967,597.8617813,173.0755452,10.24281468,770.9373265,61.62497929,1.515494886,Medium
-173,100,6,23.5,23.5,23.5,23.5,-6.435882111,16.29272631,-39.80765729,45.89500369,8.622697662,1.748182413,1.748182413,2.77706495,4.04286306,589.430325,173.9954811,10.29725757,763.4258061,61.18043867,1.530084222,Medium
-173,100,7,23.25,23.25,23.25,23.25,-7.508529129,16.11939943,-39.38417157,45.40675897,8.530966836,2.017848849,2.017848849,3.20544199,3.957302241,580.6384313,174.8271617,10.34647741,755.4655929,60.70934387,1.542892703,Medium
-173,100,8,23,23,23,23,-8.581176148,15.94607256,-38.96068586,44.91851425,8.43923601,2.281316057,2.281316057,3.623971283,3.872656512,571.4861,175.5736041,10.39065275,747.0597041,60.21187347,1.554160184,Medium
-173,100,9,22.75,22.75,22.75,22.75,-9.653823166,15.77274568,-38.53720014,44.43026953,8.347505184,2.538584036,2.538584036,4.032652827,3.788925871,561.9733313,176.237763,10.42995846,738.2110943,59.68820231,1.564065692,Medium
-173,100,10,22.5,22.5,22.5,22.5,-10.72647018,15.59941881,-38.11371442,43.94202481,8.255774357,2.789652787,2.789652787,4.431486623,3.706110319,552.100125,176.8225302,10.46456567,728.9226552,59.13850154,1.572747898,Medium
-173,100,11,22.25,22.25,22.25,22.25,-11.7991172,15.42609193,-37.69022871,43.45378009,8.164043531,3.034522309,3.034522309,4.820472671,3.624209857,541.8664813,177.3307341,10.49464178,719.1972154,58.56293856,1.580317318,Medium
-173,100,12,22,22,22,22,-12.87176422,15.25276505,-37.26674299,42.96553537,8.072312705,3.273192603,3.273192603,5.199610971,3.543224483,531.2724,177.7651403,10.52035044,709.0375403,57.96167701,1.586864029,Medium
-173,100,13,21.75,21.75,21.75,21.75,-13.94441124,15.07943818,-36.84325728,42.47729065,7.980581879,3.505663669,3.505663669,5.568901523,3.463154198,520.3178813,178.1284501,10.54185155,698.4463314,57.33487679,1.5924628,Medium
-173,100,14,21.5,21.5,21.5,21.5,-15.01705826,14.9061113,-36.41977156,41.98904593,7.888851053,3.731935506,3.731935506,5.928344327,3.383999003,509.002925,178.423301,10.55930117,687.426226,56.68269398,1.597176636,Medium
-173,100,15,21.25,21.25,21.25,21.25,-16.08970528,14.73278443,-35.99628585,41.50080121,7.797120226,3.952008115,3.952008115,6.277939382,3.305758896,497.3275313,178.6522656,10.57285157,675.9797969,56.00528081,1.601059295,Medium
-173,100,16,21,21,21,21,-17.1623523,14.55945755,-35.57280013,41.01255649,7.7053894,4.165881495,4.165881495,6.61768669,3.228433878,485.2917,178.8178511,10.58265111,664.1095511,55.30278568,1.604157143,Medium
-173,100,17,20.75,20.75,20.75,20.75,-18.23499931,14.38613068,-35.14931441,40.52431177,7.613658574,4.373555647,4.373555647,6.94758625,3.152023949,472.8954313,178.9224982,10.58884425,651.8179295,54.57535303,1.606510533,Medium
-173,100,18,20.5,20.5,20.5,20.5,-19.30764633,14.2128038,-34.7258287,40.03606704,7.521927748,4.575030571,4.575030571,7.267638061,3.07652911,460.138725,178.968581,10.59157148,639.107306,53.82312336,1.608154863,Medium
-173,100,19,20.25,20.25,20.25,20.25,-20.38029335,14.03947693,-34.30234298,39.54782232,7.430196922,4.770306266,4.770306266,7.577842125,3.001949359,447.0215813,178.958405,10.59096925,625.9799862,53.04623311,1.609121397,Medium
